id;id_2;nct_id;any paper (0=no paper, 1=article, 2=non-publication equivalent like abstract or poster);publication found (1=linked in registry, 2=google search - trial number, 3=google search - PI + intervention, 4=google, either via trial number or search terms);pmid;publication date (only fill in if no PMID available);comments from doublecheck;last_update_submitted_date;registration_date;summary_results_date;study_type;phase;enrollment;recruitment_status;title;start_date;completion_date;primary_completion_date;has_summary_results;allocation;masking;main_sponsor;is_multicentric;principal_investigator_1;principal_investigator_2;principal_investigator_3;study_chair_1;study_chair_2;study_director_1;study_director_2;unspecified_official;sub_investigator;registration_year;start_year;completion_year;primary_completion_year;affiliation;initial doublecheck (1=yes);main sample rater
358;408;NCT02464111;1;1;32649760;01.09.2020;;04.09.2015;22.04.2015;NA;Interventional;Not Applicable;30;Completed;Short Term Response of Breast Milk Micronutrient Concentrations to a Lipid Based Nutrient Supplement in Guatemalan Women;2015-05-01T00:00:00Z;2015-08-01T00:00:00Z;2015-08-01T00:00:00Z;FALSE;Randomized;None (Open Label);FED;FALSE;USDA WHNRC, UC Davis;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2015;2015;UCD;;Nicole
493;254;NCT02582515;1;2;32653895;12.07.2020;;03.04.2019;16.10.2015;11.03.2019;Interventional;Not Applicable;20;Completed;Augmentation of Brief Habit Reversal Training With D-cycloserine or Placebo;2015-10-01T00:00:00Z;2017-08-01T00:00:00Z;2017-08-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2017;2017;UCLA;;Stefanie
333;383;NCT01894958;1;1;32660869;23.05.2020;;31.01.2018;03.07.2013;NA;Interventional;Phase 2;72;Completed;A Safety Study of NNZ-2566 in Patients With Fragile X Syndrome;2014-01-01T00:00:00Z;2015-10-01T00:00:00Z;2015-09-01T00:00:00Z;FALSE;Randomized;Quadruple;INDUSTRY;TRUE;UC Davis MIND Institute;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2015;2015;UCD;;Emmanuel
831;286;NCT01771731;1;1;32678452;01.07.2020;;05.08.2020;14.01.2013;03.09.2019;Interventional;Phase 1/Phase 2;27;Completed;Vaporized Cannabis for Chronic Pain Associated With Sickle Cell Disease;2014-08-01T00:00:00Z;2017-05-19T00:00:00Z;2017-05-12T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2017;2017;UCSF;;Emmanuel
832;288;NCT01750268;1;1;32712569;02.07.2020;;18.09.2020;28.11.2012;26.09.2019;Interventional;Phase 4;32;Completed;Topiramate Treatment of Hazardous and Harmful Alcohol Use in Veterans With TBI;2012-11-01T00:00:00Z;2015-10-01T00:00:00Z;2015-10-01T00:00:00Z;TRUE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;UCSF;;Stefanie
617;544;NCT03862443;1;1;32730310;30.07.2020;;01.03.2019;14.02.2019;NA;Interventional;Not Applicable;36;Completed;BEhavioral EConomics for Oral Health iNnovation Pilot Trial;2017-05-10T00:00:00Z;2018-03-19T00:00:00Z;2017-08-13T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, Los Angeles;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;2019;2017;2018;2017;UCLA, UCSF;;Emmanuel
1004;733;NCT02465983;1;3;32730744;21.07.2020;;12.12.2019;28.05.2015;NA;Interventional;Phase 1;4;Terminated;Pilot Study of Autologous T-cells in Patients With Metastatic Pancreatic Cancer;2015-05-01T00:00:00Z;2017-11-01T00:00:00Z;2017-09-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2017;2017;UCSF;;Stefanie
820;243;NCT01802216;1;1;32734226;02.12.2019;;11.04.2019;15.02.2013;08.01.2019;Interventional;Not Applicable;51;Completed;Kidney and Periodontal Disease Study;2014-02-01T00:00:00Z;2017-09-01T00:00:00Z;2017-09-01T00:00:00Z;TRUE;Randomized;Single;OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2017;2017;UCSF;;Nicole
675;291;NCT02010697;1;2;32753992;23.07.2020;direct results in an absstract conf. https://cdn.ymaws.com/www.srnt.org/resource/resmgr/conferences/2018_Annual_Meeting/65388_SRNT_2018_Abstract_fin.pdf;11.02.2020;02.12.2013;02.10.2019;Interventional;Not Applicable;3125;Completed;Nonsmokers Helping Smokers Quit;2013-12-01T00:00:00Z;2016-01-01T00:00:00Z;2016-01-01T00:00:00Z;TRUE;Randomized;None (Open Label);OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2016;2016;UCSD;;Mario
1037;765;NCT03184337;1;1;32757824;06.08.2020;;24.10.2018;30.05.2017;NA;Interventional;Not Applicable;26;Completed;Women's Lifestyle Balance Study;2017-04-24T00:00:00Z;2017-12-31T00:00:00Z;2017-12-31T00:00:00Z;FALSE;Non-Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2017;2017;2017;2017;UCSF;;Samruddhi
