id;id_2;nct_id;any paper (0=no paper, 1=article, 2=non-publication equivalent like abstract or poster);publication found (1=linked in registry, 2=google search - trial number, 3=google search - PI + intervention, 4=google, either via trial number or search terms);pmid;publication date (only fill in if no PMID available);comments from doublecheck;last_update_submitted_date;registration_date;summary_results_date;study_type;phase;enrollment;recruitment_status;title;start_date;completion_date;primary_completion_date;has_summary_results;allocation;masking;main_sponsor;is_multicentric;principal_investigator_1;principal_investigator_2;principal_investigator_3;study_chair_1;study_chair_2;study_director_1;study_director_2;unspecified_official;sub_investigator;registration_year;start_year;completion_year;primary_completion_year;affiliation;initial doublecheck (1=yes);main sample rater
782;148;NCT01869699;1;3;28319467;01.07.2017;;11.07.2017;31.05.2013;09.06.2017;Interventional;Phase 4;41;Completed;Effects of Intravenous Acetaminophen on Body Temperature and Hemodynamic Responses in Febrile Critically Ill Adults;2013-09-01T00:00:00Z;2015-08-01T00:00:00Z;2015-08-01T00:00:00Z;TRUE;Randomized;Triple;OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2015;2015;UCSF;;Stefanie
679;303;NCT02662023;1;3;28319550;01.04.2017;;24.02.2021;20.01.2016;29.01.2020;Interventional;Phase 4;24;Completed;Continuous TAP Blocks: Relative Effects of a Basal Infusion vs. Repeated Bolus Doses;2016-02-01T00:00:00Z;2016-06-01T00:00:00Z;2016-06-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2016;2016;2016;2016;UCSD;;Samruddhi
389;120;NCT02259699;1;3;28330753;19.03.2017;;08.03.2019;15.05.2014;21.02.2017;Interventional;Not Applicable;124;Completed;Ovarian Cancer Patient-Centered Decision Aid;2014-12-01T00:00:00Z;2016-12-31T00:00:00Z;2016-12-31T00:00:00Z;TRUE;Randomized;None (Open Label);OTHER;FALSE;University of California, Irvine;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2016;2016;UCI;;Samruddhi
869;605;NCT00720733;1;1;28333512;23.03.2017;;05.03.2015;21.07.2008;NA;Interventional;Not Applicable;160;Completed;Intervention for (Those) Recently Informed of Seropositive Status (IRISS);2008-09-01T00:00:00Z;2014-12-01T00:00:00Z;2014-12-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2008;2008;2014;2014;UCSF;;Samruddhi
787;163;NCT01327274;1;3;28342579;15.03.2017;;09.10.2018;30.03.2011;24.10.2017;Interventional;Not Applicable;15;Completed;Multicenter Trial of Magnetic Mini-Mover for Pectus Excavatum;2011-12-01T00:00:00Z;2018-05-01T00:00:00Z;2016-11-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;University of California, San Francisco;NA;NA;NA;2011;2011;2018;2016;UCSF;;Mario
441;73;NCT00794508;1;1;28346229;27.03.2017;;21.04.2021;19.11.2008;09.03.2016;Interventional;Phase 2;10;Completed;MND-ADA Transduction of CD34+ Cells From Children With ADA-SCID;2008-11-01T00:00:00Z;2015-01-01T00:00:00Z;2014-12-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2008;2008;2015;2014;UCLA;;Susanne
965;697;NCT02083744;1;2;28348704;20.07.2014;;13.02.2020;25.02.2014;NA;Interventional;Not Applicable;42;Completed;Project Fluido: Fluid Watchers;2013-06-01T00:00:00Z;2014-12-22T00:00:00Z;2014-12-22T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2013;2014;2014;UCSF;;Mario
758;61;NCT01930435;1;3;28353039;28.03.2017;;11.07.2017;20.08.2013;01.12.2015;Interventional;Not Applicable;20;Completed;Study of Personalized Sterile Humidification Device for Mucositis in Head and Neck Cancer Patients;2013-07-01T00:00:00Z;2014-08-01T00:00:00Z;2014-08-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2014;2014;UCSF;;Mario
969;701;NCT02105779;1;1;28368179;01.03.2017;;03.04.2019;11.03.2014;NA;Interventional;Not Applicable;172;Completed;Optimizing Cognitive Remediation Outcomes in Schizophrenia;2009-12-01T00:00:00Z;2016-07-26T00:00:00Z;2016-05-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2009;2016;2016;UCSF;;Stefanie
938;670;NCT01874977;1;1;28378441;06.12.2017;;10.05.2016;05.06.2013;NA;Interventional;Not Applicable;96;Completed;Trial of a Physical Activity Intervention for RA Fatigue;2013-11-01T00:00:00Z;2016-03-01T00:00:00Z;2016-03-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2016;2016;UCSF;;Samruddhi
723;578;NCT02136212;1;3;28384621;31.03.2017;Unsure if this is the right publication;31.08.2017;08.05.2014;NA;Interventional;Not Applicable;57;Completed;Positive Emotional Processing: Exploring Novel Treatment Targets in Social Phobia;2013-04-01T00:00:00Z;2016-09-01T00:00:00Z;2016-07-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2014;2013;2016;2016;UCSD;;Stefanie
541;470;NCT01627366;1;2;28418767;18.04.2017;;29.07.2016;04.06.2012;NA;Interventional;Not Applicable;500;Completed;Study of Survivorship Care Plans and Outcomes in Underserved Breast Cancer Survivors;2012-08-01T00:00:00Z;2015-07-01T00:00:00Z;2015-07-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;UCLA;;Stefanie
989;718;NCT02261740;1;2;28419385;01.10.2017;;30.09.2016;01.10.2014;NA;Interventional;Not Applicable;16;Completed;Program to Overcome Pelvic Pain With Yoga;2014-10-01T00:00:00Z;2016-06-01T00:00:00Z;2016-03-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2016;2016;UCSF;;Susanne
303;341;NCT01716195;1;1;28434660;20.04.2017;;24.02.2021;25.10.2012;21.12.2020;Interventional;Phase 2;18;Completed;Induction Chemotherapy Followed by Chemoradiotherapy for Head and Neck Cancer;2012-10-01T00:00:00Z;2020-10-01T00:00:00Z;2017-03-08T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2020;2017;UCD;;Nicole
903;638;NCT01535508;1;2;28437142;16.02.2017;;08.10.2019;14.02.2012;NA;Interventional;Phase 2/Phase 3;10;Completed;Open Label Clinical Trial of Vitamin D in Children With Autism;2012-02-01T00:00:00Z;2015-12-01T00:00:00Z;2015-09-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;UCSF;;Susanne
776;139;NCT02344316;1;2;28437521;01.06.2017;;13.08.2021;12.01.2015;05.05.2017;Interventional;Phase 2;31;Completed;Bringing Relief to Adolescents Naturally Using Melatonin for Migraine;2015-05-01T00:00:00Z;2016-04-01T00:00:00Z;2016-04-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2016;2016;UCSF;;Samruddhi
313;363;NCT01261299;1;3;28437852;15.05.2017;;05.01.2018;09.12.2010;NA;Interventional;Early Phase 1;21;Terminated;Clinical Study of Microdosing Carboplatin in Lung or Bladder Cancer;2010-12-01T00:00:00Z;2016-11-01T00:00:00Z;2016-11-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;TRUE;NA;NA;NA;University of California, Davis;NA;NA;NA;NA;NA;2010;2010;2016;2016;UCD;;Samruddhi
1036;764;NCT03115372;1;3;28440872;25.04.2017;unsure. No trial id, only subgroup (each ethnic group separately published?) 27564924 is mentioned in a review as well but cites another registration;27.07.2020;11.04.2017;NA;Interventional;Not Applicable;982;Completed;Lay Health Worker Outreach in Increasing Colorectal Cancer Screening in Asian Americans;2012-02-01T00:00:00Z;2015-09-01T00:00:00Z;2015-07-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2017;2012;2015;2015;UCSF;;Nicole
455;118;NCT01608295;1;2;28444658;25.04.2017;;12.04.2018;25.05.2012;01.02.2017;Interventional;Phase 4;65;Completed;Vilazodone for Treatment of Geriatric Depression;2012-07-01T00:00:00Z;2015-09-01T00:00:00Z;2015-09-01T00:00:00Z;TRUE;Randomized;Double;OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2015;2015;UCLA;;Mario
548;477;NCT01720654;1;1;28468648;04.05.2017;;04.08.2014;29.10.2012;NA;Interventional;Not Applicable;165;Completed;Expedited Partner Therapy for MSM in Peru;2012-08-01T00:00:00Z;2014-08-01T00:00:00Z;2014-08-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2014;2014;UCLA;;Stefanie
469;161;NCT00955968;1;1;28489856;10.05.2017;;12.11.2021;07.08.2009;30.08.2017;Interventional;Phase 4;1653;Completed;IMPAACT 1077HS: Examining Benefits of HAART Continuation in Postpartum Women;2010-01-01T00:00:00Z;2016-08-31T00:00:00Z;2016-08-31T00:00:00Z;TRUE;Randomized;None (Open Label);NETWORK;TRUE;NA;NA;NA;University of California, Los Angeles;NA;NA;NA;NA;NA;2009;2010;2016;2016;UCLA;;Emmanuel
993;722;NCT02327559;1;1;28499376;12.05.2017;;23.05.2017;23.06.2014;NA;Interventional;Not Applicable;33;Completed;Prenatal Education About Reducing Labor Stress (PEARLS);2011-10-01T00:00:00Z;2015-02-01T00:00:00Z;2014-02-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2011;2015;2014;UCSF;;Stefanie
962;694;NCT02028533;1;3;28503120;25.05.2016;sample size deviation within limit, TRN and outcome similar;17.05.2019;03.01.2014;NA;Interventional;Phase 1;30;Completed;Cocaine Opioid Oxytocin Option - Limited;2014-07-01T00:00:00Z;2014-12-01T00:00:00Z;2014-12-01T00:00:00Z;FALSE;Randomized;Quadruple;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;University of California, San Francisco;NA;NA;NA;2014;2014;2014;2014;UCSF;;Samruddhi
289;166;NCT02594644;1;1;28514458;01.07.2017;;30.10.2018;31.10.2015;03.11.2017;Interventional;Not Applicable;32;Completed;The Use of Microneedles to Expedite Treatment Time in Photodynamic Therapy;2014-11-06T00:00:00Z;2016-06-22T00:00:00Z;2016-06-22T00:00:00Z;TRUE;Randomized;Single;OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2015;2014;2016;2016;UCD;;Nicole
857;336;NCT02611882;1;1;28522741;18.05.2017;;26.11.2020;29.09.2015;03.11.2020;Interventional;Phase 2;225;Completed;Evaluation of Gallium-68-HBED-CC-PSMA Imaging in Prostate Cancer Patients;2015-12-18T00:00:00Z;2016-10-24T00:00:00Z;2016-10-24T00:00:00Z;TRUE;Non-Randomized;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2016;2016;UCSF;;Nicole
498;306;NCT01129440;1;1;28526003;19.05.2017;;20.02.2020;21.05.2010;10.02.2020;Interventional;Phase 2;597;Completed;Glass Ionomer Sealant and Fluoride Varnish Study to Prevent Early Childhood Caries;2011-06-01T00:00:00Z;2016-03-01T00:00:00Z;2016-03-01T00:00:00Z;TRUE;Randomized;Single;OTHER;FALSE;University of California, Los Angeles;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;2010;2011;2016;2016;UCLA, UCSF;;Stefanie
461;140;NCT02377063;1;2;28526852;19.05.2017;;06.08.2019;18.02.2015;17.05.2017;Interventional;Not Applicable;25;Completed;The Effect of Fruit/Vegetable Drinks on the Human Intestine;2015-04-01T00:00:00Z;2015-08-01T00:00:00Z;2015-08-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;UCLA Department of Medicine, Division of Clinical Nutrition;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2015;2015;UCLA;;Nicole
554;483;NCT01762553;1;1;28530433;22.05.2017;;16.02.2016;04.01.2013;NA;Interventional;Not Applicable;1533;Completed;TEA for Families and Children: A Randomized Intervention Trial;2011-05-01T00:00:00Z;2015-06-01T00:00:00Z;2015-06-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;NPI-Center for Community Health, UCLA;NA;NA;NA;NA;NA;NA;NA;NA;2013;2011;2015;2015;UCLA;;Nicole
987;716;NCT02256592;1;2;28541799;25.05.2017;;02.05.2017;01.10.2014;NA;Interventional;Phase 1;18;Completed;Fecal Microbiota Transplantation in HIV;2014-10-01T00:00:00Z;2017-03-01T00:00:00Z;2017-03-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2017;2017;UCSF;;Stefanie
887;622;NCT01350011;1;1;28549161;02.04.2018;;08.11.2018;05.05.2011;NA;Interventional;Phase 3;175;Completed;Tobacco Intervention in Buprenorphine Treatment;2011-04-01T00:00:00Z;2016-12-01T00:00:00Z;2016-04-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2011;2011;2016;2016;UCSF;;Mario
988;717;NCT02257203;1;2;28553726;29.05.2017;;16.09.2016;24.09.2014;NA;Interventional;Not Applicable;82;Completed;Primary Care Beverage Study;2014-10-01T00:00:00Z;2015-12-01T00:00:00Z;2015-12-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2015;2015;UCSF;;Susanne
696;553;NCT01197443;1;1;28558104;01.07.2017;;30.11.2015;17.08.2010;NA;Interventional;Not Applicable;152;Completed;Parents as the Agent of Change for Childhood Obesity;2010-11-01T00:00:00Z;2015-07-01T00:00:00Z;2015-07-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;UCSD;NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2015;2015;UCSD;;Stefanie
357;407;NCT02457338;1;1;28558732;30.05.2017;;09.08.2021;27.05.2015;NA;Interventional;Not Applicable;120;Active, not recruiting;Infant Microbiota and Probiotic Intake Study;2014-11-01T00:00:00Z;2027-06-07T00:00:00Z;2016-07-15T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2015;2014;2027;2016;UCD;;Nicole
992;721;NCT02323893;1;3;28572504;01.06.2017;;14.05.2018;16.12.2014;NA;Interventional;Phase 1;6;Completed;Study of Kinetics, Dosimetry & Safety of [18F]F-AraG, a Positron Emission Tomography Imaging Tracer in Healthy Humans;2015-02-01T00:00:00Z;2017-12-31T00:00:00Z;2017-12-31T00:00:00Z;FALSE;NA;None (Open Label);INDUSTRY;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2014;2015;2017;2017;UCSF;;Stefanie
880;615;NCT01200043;1;1;28579536;01.06.2017;both studies have TRN, but latter asseses the outcome mentioned in registry more clearly;07.05.2018;09.09.2010;NA;Interventional;Not Applicable;54;Completed;Metabolic Impact of Fructose Restriction in Obese Children;2010-07-01T00:00:00Z;2014-12-01T00:00:00Z;2014-12-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2014;2014;UCSF;;Samruddhi
136;249;NCT01120639;1;3;28586949;07.02.2017;The primary outcomes of this institutional review board approved prospective phase 1/2 trial are pending;04.08.2021;07.05.2010;07.02.2019;Interventional;Phase 1/Phase 2;30;Completed;Phase 1-2 of Temozolomide and Hypofractionated Radiotherapy in Tx of Supratentorial Glioblastoma Multiform;2010-04-01T00:00:00Z;2020-11-15T00:00:00Z;2016-11-01T00:00:00Z;TRUE;Non-Randomized;None (Open Label);OTHER;FALSE;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2020;2016;Stanford;;Samruddhi
318;368;NCT01540318;1;1;28609532;13.06.2017;;15.01.2019;31.01.2012;NA;Interventional;Not Applicable;925;Completed;Utility of Abdominal Ultrasound in the Evaluation of Children With Blunt Trauma;2012-02-01T00:00:00Z;2016-01-01T00:00:00Z;2016-01-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;UC Davis School of Medicine;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2016;2016;UCD;;Nicole
994;723;NCT02341027;1;1;28610898;10.06.2017;;11.02.2020;09.01.2015;NA;Interventional;Not Applicable;205;Completed;Immediate Versus Interval Postpartum Use of the Levonorgestrel Contraceptive Implants: a Randomized Controlled Trial;2015-01-01T00:00:00Z;2016-06-01T00:00:00Z;2016-06-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2016;2016;UCSF;;Nicole
622;49;NCT00958217;1;1;28632462;20.06.2017;;22.02.2016;11.08.2009;26.06.2015;Interventional;Not Applicable;154;Completed;Intervention for Veterans With Depression, Substance Disorder, and Trauma;2009-12-01T00:00:00Z;2014-05-01T00:00:00Z;2014-05-01T00:00:00Z;TRUE;Randomized;None (Open Label);FED;FALSE;VA San Diego Healthcare System, San Diego/University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2009;2009;2014;2014;UCSD;;Nicole
773;123;NCT00265850;1;1;28632865;20.06.2017;;28.04.2020;14.12.2005;13.03.2017;Interventional;Phase 3;2334;Completed;Cetuximab and/or Bevacizumab Combined With Combination Chemotherapy in Treating Patients With Metastatic Colorectal Cancer;2005-11-01T00:00:00Z;2018-01-01T00:00:00Z;2015-02-01T00:00:00Z;TRUE;Randomized;None (Open Label);OTHER;TRUE;NA;NA;NA;University of California, San Francisco;NA;NA;NA;NA;NA;2005;2005;2018;2015;UCSF;;Nicole
846;319;NCT01637402;1;1;28655452;03.06.2017;;03.08.2020;06.07.2012;07.07.2020;Interventional;Phase 2;41;Completed;A Phase II Study of Increased-Dose Abiraterone Acetate in Patients With Castration Resistant Prostate Cancer;2013-03-13T00:00:00Z;2017-02-27T00:00:00Z;2017-02-27T00:00:00Z;TRUE;Non-Randomized;None (Open Label);OTHER;TRUE;NA;NA;NA;University of California, San Francisco;NA;NA;NA;NA;NA;2012;2013;2017;2017;UCSF;;Nicole
709;566;NCT01693874;1;1;28686822;01.07.2017;;21.07.2014;29.03.2012;NA;Interventional;Phase 1/Phase 2;103;Completed;Mindfulness-based Stress Reduction and Cognitive Function in Stress and Aging;2011-10-01T00:00:00Z;2014-06-01T00:00:00Z;2014-06-01T00:00:00Z;FALSE;Randomized;Single;OTHER;TRUE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2012;2011;2014;2014;UCSD;;Susanne
922;655;NCT01751685;1;1;28689306;08.07.2017;;05.08.2019;03.12.2012;NA;Interventional;Not Applicable;99;Completed;Study of Hyperkyphosis, Exercise and Function-SHEAF;2013-02-01T00:00:00Z;2019-05-31T00:00:00Z;2016-07-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2013;2019;2016;UCSF;;Nicole
635;136;NCT02508259;1;1;28695149;26.05.2017;;21.06.2019;22.07.2015;01.05.2017;Interventional;Phase 1/Phase 2;10;Completed;University of California, San Diego (UCSD) Suramin Autism Treatment-1 (SAT1) Trial;2015-05-01T00:00:00Z;2016-04-01T00:00:00Z;2016-03-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2016;2016;UCSD;;Samruddhi
311;362;NCT01079247;1;1;28697050;01.10.2017;;19.07.2021;26.02.2010;NA;Interventional;Not Applicable;347;Completed;A Trial of Restrictive Versus Traditional Blood Transfusion Practices in Burn Patients;2010-02-28T00:00:00Z;2016-09-28T00:00:00Z;2016-09-28T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2010;2010;2016;2016;UCD;;Samruddhi
;299;NCT02603926;1;3;28707277;01.10.2017;;13.11.2018;05.11.2015;17.10.2018;Interventional;Phase 2;6;Completed;Treatment of Fragile-X Associated Tremor/Ataxia Syndrome (FXTAS) With Allopregnanolone;2015-10-01T00:00:00Z;2017-12-01T00:00:00Z;2016-12-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;UC Davis MIND Institute;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2017;2016;UCD;1;
769;99;NCT02023918;1;2;28713554;03.05.2017;;20.04.2017;24.12.2013;09.11.2016;Interventional;Phase 2;6;Completed;Role of Growth Hormone Antagonism in Modulating Insulin Sensitivity in Subjects With Pre-diabetes;2014-01-01T00:00:00Z;2015-12-01T00:00:00Z;2015-08-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2015;2015;UCSF;;Stefanie
822;248;NCT00221338;1;1;28727581;01.10.2017;;25.08.2020;19.09.2005;05.02.2019;Interventional;Phase 3;750;Completed;Clinical Trial of Gabapentin to Decrease Postoperative Delirium and Pain;2006-01-01T00:00:00Z;2014-07-01T00:00:00Z;2014-01-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, San Francisco, CA, USA;NA;NA;NA;NA;NA;NA;NA;NA;2005;2006;2014;2014;UCSF;;Samruddhi
282;124;NCT01676714;1;2;28736761;25.07.2017;;05.01.2018;27.08.2012;17.03.2017;Interventional;Phase 2;10;Completed;Study of Dovitinib and Biomarkers in Advanced Non-Small Cell Lung Cancer or Advanced Colorectal Cancer;2013-02-01T00:00:00Z;2016-06-01T00:00:00Z;2016-01-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2012;2013;2016;2016;UCD;;Nicole
545;474;NCT01687634;1;1;28755042;01.12.2017;;12.05.2017;07.09.2012;NA;Interventional;Not Applicable;203;Completed;Home Visiting for Low Income, Pregnant Women;2012-10-01T00:00:00Z;2016-07-01T00:00:00Z;2016-07-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2016;2016;UCLA;;Susanne
780;146;NCT00823459;1;3;28759109;31.07.2017;;24.07.2020;13.01.2009;24.05.2017;Interventional;Phase 2;58;Completed;Everolimus in Treating Patients With Recurrent Low-Grade Glioma;2009-01-23T00:00:00Z;2017-11-13T00:00:00Z;2017-06-12T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2009;2009;2017;2017;UCSF;;Stefanie
337;387;NCT01925248;1;2;28761664;07.07.2017;;24.05.2017;31.07.2013;NA;Interventional;Not Applicable;32;Completed;Can Whey Protein Improve Glycemic Control in Type 2 Diabetes?;2013-07-01T00:00:00Z;2016-06-01T00:00:00Z;2016-06-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2016;2016;UCD;;Susanne
788;164;NCT01693250;1;1;28768612;02.08.2017;PILOT;09.08.2019;19.09.2012;24.10.2017;Interventional;Not Applicable;40;Completed;iStart Smart for Teens for Healthy Weight Management;2015-04-01T00:00:00Z;2016-12-01T00:00:00Z;2016-06-01T00:00:00Z;TRUE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2015;2016;2016;UCSF;;Emmanuel
601;529;NCT02620488;1;2;28769584;14.07.2017;;01.05.2017;05.10.2015;NA;Interventional;Not Applicable;28;Completed;A Brief Laboratory-Based Hypnosis Session for Pain in Sickle Cell Disease;2015-09-01T00:00:00Z;2015-12-01T00:00:00Z;2015-12-01T00:00:00Z;FALSE;Non-Randomized;Single;OTHER;FALSE;UCLA Pediatric Pain and Palliative Care Program;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2015;2015;UCLA;;Susanne
;416;NCT02086123;1;3;28782603;03.08.2017;;23.04.2021;20.11.2013;NA;Interventional;Not Applicable;87;Completed;Randomized Study Comparing the Use of Epidural Analgesia to Intravenous Narcotics for Laparoscopic Colorectal Resection.;2012-05-01T00:00:00Z;2015-04-01T00:00:00Z;2015-03-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Irvine;NA;NA;NA;NA;NA;NA;NA;NA;2013;2012;2015;2015;UCI;1;
611;539;NCT02898844;1;2;28810464;02.06.2017;;12.09.2016;08.09.2016;NA;Interventional;Not Applicable;164;Completed;Randomized Controlled Experiment of Dieting in Pairs;2013-10-01T00:00:00Z;2014-12-01T00:00:00Z;2014-12-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2016;2013;2014;2014;UCLA;;Samruddhi
929;661;NCT01819987;1;3;28826348;08.07.2017;TRN not mentioned, similar PICO;09.05.2017;18.03.2013;NA;Interventional;Phase 1/Phase 2;32;Completed;HomeTech Healthy Lifestyle Program for Mothers With Young Children;2014-01-01T00:00:00Z;2016-06-01T00:00:00Z;2016-06-01T00:00:00Z;FALSE;Randomized;Triple;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2016;2016;UCSF;;Samruddhi
1035;763;NCT03113526;1;1;28837725;01.12.2017;;06.12.2017;10.04.2017;NA;Interventional;Not Applicable;53;Completed;Neck Drains for SLNDs;2015-12-01T00:00:00Z;2017-01-11T00:00:00Z;2017-01-03T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2017;2015;2017;2017;UCSF;;Emmanuel
565;494;NCT01942811;1;1;28844733;13.06.2017;;08.01.2015;06.09.2013;NA;Interventional;Not Applicable;134;Completed;BiNational Quit Using Drugs Intervention Trial;2013-02-01T00:00:00Z;2014-02-01T00:00:00Z;2014-02-01T00:00:00Z;FALSE;Randomized;Single;OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2013;2013;2014;2014;UCLA;;Emmanuel
574;503;NCT02084316;1;1;28867267;31.08.2017;;16.08.2016;07.03.2014;NA;Interventional;Phase 2/Phase 3;360;Completed;Testing and Linkage to HIV Care in China;2014-03-01T00:00:00Z;2016-01-01T00:00:00Z;2014-08-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2016;2014;UCLA;;Samruddhi
